aid,prn,t,rh,tanededt,minelv,maxelv,azi,dt,ahgt,sp,ptn,clr,pr,ms,vs,af,df
0,29,1408403834,14.429,1732.684,5.777,16.277,94.762,1670,0.185,0.651,2.116,1.721,1.099,5.495,2.256,81.801,-0.006
0,29,1408405800,7.226,4165.425,18.832,24.930,87.094,1060,0.185,1.494,2.063,1.502,1.048,8.289,5.675,182.690,-0.226
0,30,1408330913,7.088,2266.733,5.019,24.899,279.564,2950,0.185,28.889,7.565,7.037,2.175,92.456,1102.345,17177.946,1.337
0,30,1408345758,8.978,-2185.269,5.132,24.949,191.516,2820,0.185,32.255,9.637,8.082,1.593,95.556,1062.141,13693.093,-1.351
0,30,1408374569,4.940,3627.411,9.143,24.943,81.630,2900,0.185,1.768,3.189,2.640,1.449,6.783,6.768,298.088,0.361
0,30,1408384337,5.486,-2892.783,5.549,24.959,19.000,3430,0.185,0.630,2.502,2.036,1.097,5.172,3.660,819.476,-0.038
0,31,1408328570,0.842,-2261.706,5.070,24.977,117.000,2830,0.185,2.541,4.353,3.847,1.147,8.413,18.290,1950.981,0.135
0,31,1408358668,1.537,1229.603,5.051,10.044,20.432,830,0.185,1.028,3.036,2.496,1.496,5.169,1.541,77.242,0.125
0,31,1408361052,0.889,4483.123,13.993,24.966,9.852,2330,0.185,1.415,2.348,1.751,1.057,7.433,8.855,406.615,0.151
0,31,1408368966,0.799,-3159.443,5.060,24.973,316.249,3930,0.185,4.521,4.483,3.278,1.334,26.121,78.674,8058.873,-0.641
0,31,1408399093,11.088,2079.792,5.051,24.911,210.890,2710,0.185,24.153,5.458,4.496,1.441,112.819,1380.702,10928.486,-3.060
0,32,1408348947,4.878,3985.920,9.281,24.966,25.047,3210,0.185,1.129,2.598,2.111,1.081,7.973,8.844,772.143,-0.080
0,32,1408357290,0.516,-3212.149,5.045,24.988,330.725,3900,0.185,2.838,3.991,3.016,1.595,14.441,31.827,5431.640,-0.127
0,32,1408387723,9.533,2140.772,5.042,24.893,225.436,2790,0.185,42.125,6.769,5.540,1.597,130.747,2697.162,19321.619,-1.654
0,32,1408404015,1.247,-2082.348,5.082,24.930,132.092,2750,0.185,7.448,8.319,6.594,1.335,19.263,145.894,9746.292,0.057
0,101,1408325903,10.807,-1792.742,5.021,24.946,187.000,2350,0.185,7.082,3.737,2.831,1.127,63.003,231.206,2848.091,0.823
0,101,1408351835,12.529,2006.380,5.004,24.420,83.241,2510,0.185,1.107,2.666,1.998,1.028,3.886,3.915,100.678,-0.091
0,101,1408361984,5.612,-3103.738,18.977,24.945,1.911,800,0.185,2.147,2.334,1.894,1.481,8.635,8.506,186.583,-0.064
0,101,1408363172,6.547,-1710.486,5.285,16.531,358.522,1460,0.185,1.602,2.116,1.805,1.015,4.367,2.506,17.543,0.022
0,101,1408392083,5.881,1856.508,5.036,24.923,268.029,2430,0.185,7.409,4.218,3.240,1.220,73.079,199.472,3959.321,-0.696
0,101,1408406083,6.832,-2718.640,19.507,24.925,163.000,630,0.185,8.442,4.066,3.728,1.736,62.305,85.435,723.365,1.380
0,102,1408330638,11.214,-1803.261,5.127,25.000,206.651,2340,0.185,9.336,2.924,2.131,1.091,116.586,705.359,4063.303,0.097
0,102,1408356628,4.735,2525.640,7.220,24.865,101.421,2200,0.185,1.710,2.222,1.792,1.144,6.466,9.718,186.064,-0.065
0,102,1408367883,4.217,-1943.686,5.062,24.936,14.286,2510,0.185,1.256,3.525,3.012,1.024,7.114,7.631,1204.883,-0.016
0,102,1408397473,7.053,1854.038,5.018,24.851,286.381,2430,0.185,8.910,3.712,2.975,1.287,71.592,355.010,4623.868,-0.886
0,103,1408322610,3.657,2063.177,5.270,24.872,324.872,2430,0.185,3.425,4.978,4.509,1.477,12.698,26.319,1352.632,0.439
0,103,1408335238,9.773,-1841.396,5.120,24.924,230.402,2380,0.185,18.167,4.847,3.932,1.690,120.635,878.432,7644.686,-1.379
0,103,1408360942,0.761,2361.047,12.677,24.921,125.520,1480,0.185,4.534,3.620,2.823,1.111,16.927,57.546,1888.933,-0.180
0,103,1408373153,1.000,-1893.629,5.107,24.922,32.378,2450,0.185,2.486,7.715,6.747,2.414,7.883,7.956,2039.146,0.309
0,103,1408403211,4.773,2009.457,5.832,24.895,306.668,2340,0.185,6.010,3.781,2.987,1.079,43.181,140.930,4931.277,-0.734
0,104,1408327879,2.193,2298.581,6.693,24.927,341.401,2290,0.185,2.794,5.375,4.221,1.682,8.092,11.558,779.427,0.412
0,104,1408339533,9.190,-1897.825,5.102,24.970,251.610,2450,0.185,14.118,5.214,4.077,1.485,102.848,534.008,6152.119,-0.420
0,104,1408364889,5.767,1801.829,5.067,24.946,148.060,2350,0.185,5.421,3.393,2.672,1.012,53.883,151.208,3086.816,0.319
0,104,1408378372,3.627,-1869.692,5.089,24.991,49.172,2440,0.185,0.847,4.817,3.916,1.168,4.701,2.548,539.284,0.039
0,105,1408333110,5.259,2699.725,12.756,24.930,357.019,1580,0.185,1.671,3.377,2.967,1.176,7.707,6.080,280.713,0.073
0,105,1408343723,8.852,-1967.019,5.082,24.940,273.142,2530,0.185,9.499,3.404,2.580,1.055,95.855,525.742,5066.059,-0.450
0,105,1408369508,11.992,1786.654,5.033,24.967,170.000,2340,0.185,10.169,3.165,2.366,1.001,97.996,615.995,4459.216,-0.856
0,105,1408383219,6.714,-2392.581,5.977,24.972,67.152,2310,0.185,2.373,3.078,2.508,1.062,8.997,11.311,361.876,-0.022
0,106,1408338948,18.651,2743.091,11.563,24.655,19.810,1780,0.185,0.759,2.426,1.834,1.114,3.086,1.303,30.204,0.036
